"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ANKRD11",0.00172323061981331,0.530033407202512,0.358,0.284,1
"ARPP19",0.0017460753642194,0.388570226612591,0.146,0.09,1
"MAP4K4",0.00176295660827251,0.312756663132623,0.148,0.09,1
"BLA-DQB",0.00179052508409943,-0.37904882207364,0.528,0.569,1
"ATP5F1B",0.00179077459452829,0.407063949177167,0.178,0.119,1
"RSL1D1",0.00187837812552372,0.263604122055666,0.117,0.067,1
"NUFIP2",0.00188152620110494,0.29435837508674,0.171,0.11,1
"PRR14L",0.00188401187674,0.315270671106353,0.265,0.191,1
"AFF1",0.0019298731149251,0.316316270716072,0.117,0.067,1
"RANBP2",0.00196596199686476,0.292175566373985,0.222,0.151,1
"NCL",0.00197964003710134,0.259150182150397,0.381,0.286,1
"PELI1",0.00200404472315225,0.298512052879277,0.13,0.077,1
"ATP8",0.00202872743869765,0.558044166717125,0.24,0.177,1
"SRSF6",0.00231757653011137,0.301887406152633,0.218,0.149,1
"CYTB",0.00232204017092881,0.292947879969528,0.893,0.841,1
"PRRC2A",0.00235444109628959,0.29148929478462,0.114,0.065,1
"XRN1",0.00238204894954953,0.291524490246437,0.123,0.072,1
"DEPDC7",0.00238583501613943,0.300185949489999,0.114,0.065,1
"SMNDC1",0.00242412216332637,0.268453933570749,0.121,0.07,1
"ND1",0.00258852843065122,0.25996935452643,0.784,0.697,1
"TRA2A",0.00259277473677744,0.288652594501644,0.165,0.105,1
"THRAP3",0.00261145883459124,0.306397229015995,0.19,0.129,1
"RAD21",0.00264546667405672,0.288005745119279,0.132,0.08,1
"SRRM1",0.00267901803923658,0.311389834339495,0.371,0.284,1
"PAXBP1",0.0027327863827815,0.361509474573596,0.255,0.187,1
"XPO1",0.00273409380805703,0.325235903058256,0.1,0.055,1
"HEXIM1",0.00274725101757387,0.259075385307067,0.126,0.075,1
"ENSBTAG00000009656",0.0029511260181576,-0.513385994736436,0.291,0.343,1
"RBM10",0.00299355877531937,0.264333242004797,0.107,0.06,1
"RELB",0.00301565655036012,0.302898336680706,0.213,0.149,1
"SNRNP200",0.0030702812430351,0.304040625309431,0.144,0.09,1
"SMARCA4",0.00308482217141813,0.288734144991283,0.11,0.064,1
"RPL21",0.00315408522270423,-0.256795908491803,0.591,0.615,1
"EPRS1",0.00320729196105467,0.284174944648013,0.105,0.06,1
"APPL1",0.00331605374255377,0.31300242157039,0.366,0.288,1
"SF3B1",0.00339127969157036,0.293969271800611,0.425,0.341,1
"FAM21A",0.00346331534362304,0.30537380560264,0.126,0.077,1
"TRA2B",0.00367917749120431,0.30618418920634,0.277,0.202,1
"RIF1",0.00419365100127255,0.36181939519124,0.105,0.062,1
"COX1",0.00426527929026434,0.499311514243793,0.906,0.856,1
"SCAND1",0.00427736906539909,0.272236441357872,0.133,0.084,1
"OXA1L",0.0043193382968157,0.296908670627416,0.108,0.064,1
"ND5",0.00445964247455197,0.678037267298997,0.587,0.532,1
"DENND5A",0.00456607335394965,0.333496352555919,0.125,0.077,1
"HNRNPR",0.00496801501982767,0.285717339058583,0.119,0.074,1
"SMG7",0.00516763134685476,0.340832192536252,0.102,0.06,1
"GAPVD1",0.00532207436239909,0.308671607183143,0.104,0.062,1
"EP300",0.00542604790342263,0.289652140231149,0.122,0.075,1
"SEPTIN11",0.00587673504120765,0.252186389716936,0.103,0.06,1
"UBE2J2",0.00618169924111313,0.268366620261324,0.115,0.07,1
"PCF11",0.00640060094107708,0.279413390688279,0.137,0.089,1
"BATF3",0.00698931933547959,-0.509810467801298,0.36,0.393,1
